id,setsize,type,shadow,pres,key,time
1,3,flat,FALSE,p,right,593.919992446899
1,3,flat,FALSE,p,right,698.779463768005
1,3,flat,FALSE,p,right,578.231573104858
1,3,flat,FALSE,p,right,514.220058917999
1,3,flat,FALSE,p,right,468.055635690689
1,3,flat,FALSE,p,right,633.194208145142
1,3,flat,FALSE,p,right,2182.31344223023
1,3,flat,FALSE,p,right,699.831485748291
1,3,flat,FALSE,p,right,760.730087757111
1,3,flat,FALSE,p,right,672.385573387146
1,3,flat,FALSE,p,right,1272.3354101181
1,3,flat,FALSE,p,right,774.493098258972
1,3,flat,FALSE,p,right,842.196762561798
1,3,flat,FALSE,p,left,842.079043388367
1,3,flat,FALSE,p,right,423.51695895195
1,3,flat,FALSE,p,right,982.653737068176
1,3,flat,FALSE,p,right,673.314094543457
1,3,flat,FALSE,p,right,468.030661344528
1,3,flat,FALSE,p,right,625.343322753906
1,3,flat,FALSE,p,right,502.37566232681303
1,3,flat,FALSE,p,right,690.34731388092
1,3,flat,FALSE,p,right,700.84685087204
1,3,flat,FALSE,p,right,1182.22033977508
1,3,flat,FALSE,p,right,1140.53666591644
1,3,flat,FALSE,p,right,840.481042861938
1,3,flat,FALSE,p,right,558.398127555847
1,3,flat,FALSE,p,right,550.302267074585
1,3,flat,FALSE,p,right,563.106000423431
1,3,flat,FALSE,p,right,532.401084899902
1,3,flat,FALSE,p,right,927.087962627411
1,3,flat,FALSE,a,right,691.672384738922
1,3,flat,FALSE,a,left,796.557486057281
1,3,flat,FALSE,a,left,968.56164932251
1,3,flat,FALSE,a,left,797.670722007751
1,3,flat,FALSE,a,left,1279.14929389954
1,3,flat,FALSE,a,right,857.871830463409
1,3,flat,FALSE,a,left,781.296074390411
1,3,flat,FALSE,a,left,686.913192272186
1,3,flat,FALSE,a,left,747.683882713318
1,3,flat,FALSE,a,right,810.038924217224
1,6,flat,FALSE,p,right,841.929912567139
1,6,flat,FALSE,p,right,1208.9991569519
1,6,flat,FALSE,p,right,471.175730228424
1,6,flat,FALSE,p,right,995.171010494232
1,6,flat,FALSE,p,right,1099.07639026642
1,6,flat,FALSE,p,right,939.759910106659
1,6,flat,FALSE,p,left,950.641632080078
1,6,flat,FALSE,p,right,606.551945209503
1,6,flat,FALSE,p,left,1203.13799381256
1,6,flat,FALSE,p,right,934.109568595886
1,6,flat,FALSE,p,right,496.540188789368
1,6,flat,FALSE,p,right,466.839402914047
1,6,flat,FALSE,p,right,1150.08509159088
1,6,flat,FALSE,p,right,481.343746185303
1,6,flat,FALSE,p,right,592.934012413025
1,6,flat,FALSE,p,right,767.612457275391
1,6,flat,FALSE,p,right,1419.09277439117
1,6,flat,FALSE,p,right,1467.85581111908
1,6,flat,FALSE,p,right,464.571177959442
1,6,flat,FALSE,p,right,934.205710887909
1,6,flat,FALSE,p,right,623.241722583771
1,6,flat,FALSE,p,right,424.676388502121
1,6,flat,FALSE,p,right,761.220037937164
1,6,flat,FALSE,p,right,870.944023132324
1,6,flat,FALSE,p,right,1278.44655513763
1,6,flat,FALSE,p,right,1838.94801139831
1,6,flat,FALSE,p,right,794.755578041077
1,6,flat,FALSE,p,right,1076.91991329193
1,6,flat,FALSE,p,right,1166.68832302094
1,6,flat,FALSE,p,right,1153.22947502136
1,6,flat,FALSE,a,right,1310.22095680237
1,6,flat,FALSE,a,left,1608.37948322296
1,6,flat,FALSE,a,left,1547.72341251373
1,6,flat,FALSE,a,left,1311.26403808594
1,6,flat,FALSE,a,left,2257.91478157044
1,6,flat,FALSE,a,left,1684.161901474
1,6,flat,FALSE,a,left,1279.22248840332
1,6,flat,FALSE,a,left,1202.343583107
1,6,flat,FALSE,a,left,1189.94092941284
1,6,flat,FALSE,a,left,1383.09323787689
1,9,flat,FALSE,p,right,458.281725645065
1,9,flat,FALSE,p,right,812.406659126282
1,9,flat,FALSE,p,left,574.62465763092
1,9,flat,FALSE,p,right,471.300929784775
1,9,flat,FALSE,p,right,578.177869319916
1,9,flat,FALSE,p,right,1656.9766998291
1,9,flat,FALSE,p,right,825.614035129547
1,9,flat,FALSE,p,left,1781.35597705841
1,9,flat,FALSE,p,right,561.587989330292
