id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,date
VBAB79,4,2,1,2,1,4,3,3,4,5,4,1,2022-11-16T18:16:38Z
EUDV3,2,1,4,4,4,2,2,4,4,1,5,1,2022-09-10T18:27:40Z
VBJW82,4,3,3,5,1,4,2,3,3,2,5,3,2022-12-12T05:38:54Z
QBKL91,1,3,4,1,4,2,1,2,4,2,4,1,2022-09-25T00:19:58Z
PNJI81,4,2,3,1,3,5,2,2,4,1,1,4,2022-11-20T09:47:13Z
UOKZ154,5,4,3,3,2,5,3,3,4,4,2,5,2022-10-04T05:25:59Z
ODHP25,5,4,3,4,5,4,3,4,3,1,2,1,2022-11-26T01:15:24Z
SYHG39,1,5,3,3,3,5,1,5,4,4,2,1,2022-10-18T07:24:56Z
GVAR47,5,2,2,4,3,4,3,2,2,1,2,2,2022-12-16T00:34:49Z
THDA123,2,3,4,2,4,5,5,5,1,2,2,4,2022-08-30T14:56:34Z
OADW165,3,5,4,4,4,2,1,1,5,2,3,4,2022-08-24T14:48:51Z
TRBS54,2,5,1,3,3,5,5,4,4,4,4,2,2022-09-12T17:15:49Z
MGBQ24,2,1,2,3,4,5,2,1,1,2,1,4,2022-09-07T01:53:56Z
YOWP77,1,5,1,3,5,2,3,2,5,2,4,5,2022-11-04T15:13:49Z
YAJK96,1,5,2,1,5,3,1,5,5,2,4,3,2022-08-17T08:05:23Z
UAKW34,1,1,3,1,2,1,1,1,5,1,5,1,2022-08-08T08:49:29Z
IPGB160,3,3,3,5,4,3,2,5,3,2,3,3,2022-12-05T22:22:09Z
CYSX204,5,1,1,1,5,4,5,3,3,1,3,2,2022-10-09T02:44:04Z
ZDBP37,1,4,3,2,2,1,1,3,5,3,2,4,2022-12-04T07:39:10Z
GHEP193,3,3,1,5,1,2,3,1,4,4,2,3,2022-09-11T06:39:13Z
DOLL111,3,3,2,1,5,4,4,4,3,3,3,2,2022-10-03T15:26:24Z
AJBU76,2,2,1,5,1,5,5,2,4,5,5,5,2022-09-20T02:13:02Z
VKBY137,1,2,1,3,3,5,4,1,1,4,5,1,2022-09-26T12:36:21Z
GPAD167,4,3,5,2,3,1,3,1,2,3,1,4,2022-11-21T21:34:39Z
ITAU59,3,1,3,1,2,5,4,5,1,3,1,4,2022-08-09T21:03:43Z
RNTX78,3,1,2,1,2,3,1,5,2,2,2,3,2022-10-16T04:09:22Z
QKSC101,5,4,2,1,4,5,3,1,1,5,5,5,2022-12-12T06:23:16Z
EBOM40,5,2,3,4,4,2,2,4,2,4,2,2,2022-09-06T21:31:34Z
UZIA36,4,1,1,4,5,3,5,2,2,1,3,3,2022-09-13T15:55:21Z
DUXF84,2,3,5,4,3,4,4,4,5,2,4,5,2022-10-17T05:26:02Z
WNAH159,3,3,4,1,3,3,2,2,2,3,1,3,2022-08-24T12:59:18Z
VHHQ95,1,3,3,2,4,3,5,3,1,1,1,4,2022-12-15T05:42:56Z
ASXQ71,1,3,4,2,5,3,2,5,4,2,1,2,2022-10-13T11:24:24Z
INVN174,1,5,1,4,4,5,1,3,2,2,3,3,2022-10-15T22:10:29Z
STVN186,5,2,5,1,3,4,3,2,3,2,3,2,2022-09-15T03:13:54Z
XWUJ7,5,5,3,5,5,5,2,5,1,1,5,1,2022-10-31T11:17:45Z
WOIY80,2,5,2,4,3,3,1,5,3,2,2,2,2022-10-29T07:10:37Z
PTWP33,3,2,3,3,2,2,4,4,2,1,2,1,2022-08-31T18:37:43Z
UIXJ182,5,5,3,3,4,4,3,1,2,3,2,4,2022-08-23T04:21:49Z
KSTW32,1,2,3,5,4,2,3,3,1,2,4,2,2022-12-16T17:54:43Z
UHOB163,1,2,2,5,3,4,4,2,2,1,2,1,2022-09-01T15:32:58Z
ZSNL65,2,4,3,2,5,2,5,3,2,4,2,5,2022-11-15T14:36:52Z
TXNJ140,1,4,4,1,4,1,2,3,5,3,5,1,2022-12-11T02:22:17Z
YDBX66,5,1,1,5,2,5,3,3,1,5,4,1,2022-09-27T20:12:09Z
YBJZ90,2,1,2,3,5,5,5,2,5,5,2,5,2022-08-27T16:10:41Z
TQIK171,3,3,1,2,4,4,2,2,4,1,3,4,2022-11-05T10:01:42Z
BGZR199,2,3,1,5,3,3,4,2,2,5,2,5,2022-11-09T20:04:18Z
LBQM67,2,3,1,1,3,5,1,2,1,5,1,4,2022-09-14T15:15:26Z
QEAN19,3,5,5,5,2,5,5,3,3,4,3,1,2022-09-08T08:10:09Z
PUXK12,1,3,4,4,5,3,2,4,4,3,3,2,2022-10-07T06:35:20Z
GOGO109,4,1,4,5,2,1,4,2,4,5,3,4,2022-09-29T04:19:53Z
OQMH106,3,5,3,5,5,4,3,4,2,2,3,5,2022-12-09T17:22:19Z
QHEC68,2,2,1,4,4,4,2,2,3,2,2,4,2022-12-13T17:27:20Z
LSXQ97,1,4,5,5,4,2,4,2,4,1,5,4,2022-08-28T08:04:56Z
ECLJ26,2,5,2,3,5,3,4,2,2,4,5,4,2022-12-09T14:26:48Z
SOST135,4,3,5,5,1,1,3,1,2,2,2,4,2022-11-15T16:29:28Z
MJWB197,4,2,2,3,1,1,3,1,4,2,1,1,2022-12-03T11:55:46Z
FWPT172,1,3,5,4,5,5,3,3,2,4,4,3,2022-08-21T16:47:28Z
HPTX14,1,5,5,5,2,1,5,3,1,2,3,1,2022-11-03T01:20:40Z
NLQD92,2,1,4,3,2,2,2,4,2,5,1,3,2022-11-05T17:23:42Z
JHNG136,5,1,2,5,4,4,1,5,4,3,1,5,2022-09-16T12:57:29Z
SPDO149,3,2,1,3,1,2,2,4,2,5,4,4,2022-10-01T23:19:42Z
CQTC13,2,4,3,2,5,1,5,5,4,4,3,3,2022-12-11T09:37:03Z
AQNI184,3,1,3,4,1,1,5,2,5,1,5,5,2022-10-15T04:05:07Z
FFSI132,2,5,2,3,1,5,2,2,2,5,4,5,2022-11-15T00:55:50Z
INUB38,1,5,4,1,4,5,3,3,1,1,4,2,2022-10-31T04:57:56Z
KPRV195,5,5,4,3,5,2,3,4,5,4,2,5,2022-10-04T22:58:58Z
XTZB6,4,1,1,4,1,1,3,3,1,3,1,5,2022-10-25T00:28:43Z
OGXA63,3,4,1,5,3,4,2,1,4,2,2,2,2022-11-28T09:35:01Z
CHJG51,4,5,3,2,1,4,3,1,3,3,3,4,2022-09-06T16:06:34Z
SBQY168,4,2,1,3,3,4,5,4,4,5,1,1,2022-10-24T10:17:24Z
WGSC180,5,2,2,1,1,5,5,1,3,4,2,4,2022-09-04T04:46:11Z
FKQQ138,3,1,5,4,4,4,4,3,1,1,2,1,2022-08-14T02:00:32Z
UTVO176,1,1,2,1,2,3,3,2,2,4,2,1,2022-08-23T05:06:50Z
NPAA189,5,4,5,2,4,4,1,5,1,4,4,5,2022-12-04T08:54:04Z
IKQV46,5,5,4,4,2,1,2,5,5,1,1,2,2022-08-31T04:33:48Z
