id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,date
ZJMM183,3,4,1,3,4,2,2,2,3,4,2,5,2022-09-18T21:19:20Z
DACM190,1,4,2,5,5,1,3,2,1,3,1,3,2022-08-10T12:54:17Z
GBKA113,3,5,3,1,5,3,3,5,4,3,2,5,2022-11-29T23:17:12Z
BLMI104,2,4,3,2,3,3,1,1,1,5,1,1,2022-12-04T09:20:09Z
NODE69,5,3,3,5,1,1,3,2,2,1,3,5,2022-10-02T20:20:13Z
LUPK107,3,4,4,2,2,1,2,4,1,3,3,1,2022-09-02T16:29:49Z
RCFJ179,5,4,3,4,4,1,2,4,3,5,4,4,2022-11-23T07:49:35Z
JHTV9,1,2,4,4,2,5,5,2,1,3,5,3,2022-10-14T03:27:40Z
LTAF150,5,1,5,3,1,1,3,3,3,3,1,4,2022-08-06T07:25:43Z
FMUK50,5,5,1,1,3,3,2,2,2,2,2,2,2022-11-19T14:29:05Z
HDPO56,5,5,2,1,3,1,4,3,4,3,1,3,2022-08-10T17:35:18Z
RGHS116,3,4,2,2,5,5,5,3,1,5,2,1,2022-11-17T17:13:49Z
MKHG130,1,4,3,5,3,4,2,4,4,3,2,4,2022-11-10T06:25:13Z
VUDS17,1,5,5,5,4,2,1,1,1,3,1,3,2022-12-12T04:13:43Z
QXFO145,3,2,1,3,1,5,2,1,1,2,5,2,2022-08-08T07:01:48Z
SRHC61,2,4,3,1,5,4,1,4,1,2,4,2,2022-10-06T10:34:23Z
GBYE18,3,3,1,3,4,4,5,2,1,4,3,4,2022-10-08T13:27:54Z
YBMF158,2,2,1,1,3,5,2,4,2,3,2,4,2022-10-13T01:34:34Z
UDKU148,3,4,2,1,1,4,2,2,4,2,5,1,2022-08-25T02:28:44Z
CIQL162,4,3,1,3,3,3,3,1,3,3,4,2,2022-08-22T02:44:16Z
