id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,date
XOOH115,1,1,4,4,2,2,2,1,2,5,4,2,2022-09-15T12:26:38Z
NIXA1,1,4,2,1,1,2,1,2,3,3,4,5,2022-11-29T03:10:06Z
ESVN164,1,4,4,5,4,2,4,2,5,4,2,3,2022-08-22T04:12:52Z
ENAU105,5,5,3,5,2,1,3,2,3,4,3,4,2022-12-08T12:23:22Z
HAKJ121,3,1,2,4,3,5,3,1,3,1,1,5,2022-09-14T21:00:53Z
ELCF99,2,5,2,2,5,2,2,3,2,5,4,5,2022-09-27T08:27:11Z
DZKK144,4,2,5,5,5,5,5,5,2,1,4,2,2022-09-30T19:20:33Z
LOWO170,4,3,2,5,3,2,2,2,2,1,5,2,2022-10-30T09:10:33Z
MXAF41,5,2,1,1,1,3,1,5,2,4,5,4,2022-12-09T00:04:30Z
KHOE89,3,2,3,4,5,1,4,1,4,2,4,2,2022-11-03T02:48:33Z
LJLU200,5,4,5,5,3,5,1,3,1,5,5,5,2022-11-11T17:41:48Z
RYHQ188,2,1,1,4,3,2,3,4,2,2,4,4,2022-12-05T03:42:53Z
IQOJ28,1,2,5,2,3,2,3,2,4,1,1,3,2022-10-26T14:38:09Z
TNWR70,5,1,3,3,3,1,4,5,5,2,5,3,2022-10-29T06:49:51Z
VIPL108,2,3,5,2,4,3,5,5,4,4,2,1,2022-08-22T10:06:37Z
ZMKK87,1,4,5,3,1,2,4,3,4,4,4,5,2022-11-14T18:29:07Z
ELQN29,1,2,5,2,1,3,5,4,1,3,2,3,2022-11-02T17:51:14Z
JYAP196,1,5,1,3,2,1,3,1,1,2,3,3,2022-09-19T06:01:54Z
JWUD55,2,4,2,3,3,5,4,2,5,5,2,2,2022-12-09T17:13:38Z
JUFY156,3,4,4,4,4,4,3,5,5,4,2,4,2022-12-17T10:15:55Z
JFLG142,1,3,1,2,2,2,1,2,4,2,2,2,2022-11-15T16:25:14Z
DBRH143,4,1,5,2,3,3,3,4,3,5,1,2,2022-09-10T19:48:42Z
LDQO110,3,5,1,1,4,1,1,5,1,4,1,5,2022-08-22T12:40:08Z
WMUH103,1,3,4,5,4,4,2,1,5,5,5,5,2022-08-15T17:08:09Z
CSYI161,4,5,5,5,5,2,2,5,4,2,4,1,2022-08-28T14:26:53Z
NGOM42,1,5,5,3,2,5,5,4,5,3,5,3,2022-10-26T13:23:35Z
SOBD178,2,4,2,4,5,1,5,5,2,2,2,1,2022-10-13T17:56:32Z
UMUC124,1,2,3,5,5,1,3,4,1,3,2,3,2022-10-26T14:53:48Z
HXYO49,1,3,5,1,2,1,4,3,2,5,5,3,2022-09-14T02:11:07Z
MOTW15,1,3,2,2,3,4,3,4,3,4,4,1,2022-10-25T02:28:09Z
